Title,Abstract,Authors,Journal,DOI
Performance analysis of AL amyloidosis cardiac biomarker staging systems with special focus on renal failure and atrial arrhythmia.,"Systemic light chain amyloidosis is a rare and life-threatening disorder, for which accurate risk stratification is crucial. Current cardiac staging systems (MAYO2004, MAYO3b, and MAYO2012) are mainly based on biomarkers, which have uncertain reliability in the context of atrial fibrillation, arrhythmia or pacemaker stimulation as well as renal insufficiency. We compared the performance of the established staging systems with particular regard to these comorbidities in 1,224 patients with systemic light chain amyloidosis diagnosed at our center from July 2002 until March 2017. We first characterized the subsets with an estimated glomerular filtration rate <50 mL/min/1.73 m(2) (415 patients) and any kind of atrial arrhythmia (183 patients) as unique high-risk subgroups with similarly increased cardiac biomarkers (χ(2)-test, all P<0.001). This resulted in a shift towards higher risk stages and reduced median overall survival compared to those of patients with better kidney function or without atrial arrhythmia in univariate analyses (13 vs 46 months and 17 vs 53 months, respectively; both P<0.001). Performance analysis revealed that predictions in the entire cohort were least precise with the MAYO2004 staging system and most precise with the MAYO3b system. This performance pattern was almost preserved for patients with an estimated glomerular filtration rate <50 mL/min/1.73 m(2), but less so for those with atrial arrhythmias. The MAYO3b staging system was most robust. Importantly, atrial arrhythmia retained its prognostic value in multivariable analysis including age, difference between involved and uninvolved free light chains, and any staging system, while estimated glomerular filtration rate <50 mL/min/1.73 m(2) was not statistically significant in multivariable analysis with the MAYO3b staging system. In conclusion, our results favor the MAYO3b staging system due to its consistently best performance and retained applicability in the subgroups with atrial arrhythmia and estimated glomerular filtration rate <50 mL/min/1.73 m(2).","Dittrich T, Benner A, Kimmich C, Siepen FAD, Veelken K, Kristen AV, Bochtler T, Katus HA, Müller-Tidow C, Hegenbart U, Schönland SO",Haematologica. 2019 Jul;104(7):1451-1459. doi: 10.3324/haematol.2018.205336. Epub 2019 Jan 17.,haematol.2018.205336 [pii]
Biventricular assessment of light-chain amyloidosis using 3D speckle tracking echocardiography: Differentiation from other forms of myocardial hypertrophy.,"BACKGROUND: Given that in patients with cardiac amyloidosis (CA), deposition of amyloid protein is not restricted to the left ventricular (LV) myocardium, it can be hypothesized that the diagnostic value of deformation mechanics would be enhanced by considering right ventricular (RV) strain measures. The aim of the present study was to examine the potential utility of left ventricular (LV) and right ventricular (RV) deformation and rotational parameters derived from three-dimensional speckle-tracking echocardiograph (3DSTE) to diagnose cardiac amyloidosis and differentiate this disease from other forms of myocardial hypertrophy. METHODS: Twenty-three patients with biopsy-proven light-chain (AL) amyloidosis, 23 patients with systemic arterial hypertension (HTN), 23 patients with hypertrophic cardiomyopathy (HCM), 23 athletes and 23 normal controls were prospectively studied by conventional echocardiography and 3DSTE. LV longitudinal strain (LV LS), LV circumferential strain (LV CS), RV global longitudinal strain and RV free-wall longitudinal strain (RV FW LS) were obtained by 3DSTE, as well as LV rotation and rotational velocities. RESULTS: LV and RV longitudinal strains were reduced in cardiac amyloidosis (CA) patients compared to controls. By multivariate analysis, LV basal LS (p = 0.002), LV peak basal rotation (p = 0.003), and RV basal FW LS (p = 0.014) were independently associated with CA in the overall population. A significant improvement in global χ(2) value was noted with RV 3D-strain parameters over only LV-3DSTE + conventional indices for detection of CA (p < 0.001). Comparison of ROC curves showed that the AUC using combined LV basal LS, LV basal rotation and RV basal FW LS had a higher discriminative value than the other echocardiographic parameters used for detecting CA (AUC 0.93, 95%CI 0.81-0.97). CONCLUSIONS: Three-dimensional speckle tracking echocardiography reveals regional and global biventricular dysfunction in CA. Assessment of RV ventricular dysfunction has an additive value in differentiating CA from other causes of myocardial wall thickening.","Vitarelli A, Lai S, Petrucci MT, Gaudio C, Capotosto L, Mangieri E, Ricci S, Germanò G, De Sio S, Truscelli G, Vozella F, Pergolini MS, Giordano M",Int J Cardiol. 2018 Nov 15;271:371-377. doi: 10.1016/j.ijcard.2018.03.088. Epub 2018 Jul 23.,S0167-5273(17)36382-9 [pii]
Anterior Aortic Plane Systolic Excursion: A Novel Indicator of Transplant-Free Survival in Systemic Light-Chain Amyloidosis.,"BACKGROUND: Anterior aortic plane systolic excursion (AAPSE) was evaluated in the present pilot study as a novel echocardiographic indicator of transplant-free survival in patients with systemic light-chain amyloidosis. METHODS: Eighty-nine patients with light-chain amyloidosis were included in the post-hoc analysis. A subgroup of 54 patients with biopsy-proven cardiac amyloid infiltration were compared with 41 healthy individuals to evaluate the discriminative ability of echocardiographic findings. AAPSE is defined as the systolic excursion of the anterior aortic margin. To quantify AAPSE, the M-mode cursor was placed on the aortic valve plane in parasternal long-axis view at end-diastole. Index echocardiography had been performed before chemotherapy. Median follow-up duration was 2.4 years. The primary combined end point was heart transplantation or overall death. RESULTS: Mean AAPSE was 14 ± 2 mm in healthy individuals (mean age=57 ± 10 years; 56% men; BMI=25 ± 4 kg/m(2)). AAPSE < 11 mm separated patients from age-, gender-, and BMI-matched control subjects with 93% sensitivity and 97% specificity. Median transplant-free survival of patients with AAPSE < 5 mm was 0.7 versus 4.8 years (P = .0001). AAPSE was an independent indicator of transplant-free survival in multivariate Cox regression (echocardiographic model: hazard ratio=0.72 [P = .03]; biomarker model: hazard ratio=0.62 [P = .0001]). Sequential regression analysis suggested incremental power of AAPSE as a marker of transplant-free survival. An ejection fraction-based model with an overall χ(2) value of 22.8 was improved by the addition of log NT-proBNP (χ(2) = 32.6, P < .005), troponin-T (χ(2) = 39.6, P < .01), and AAPSE (χ(2) = 54.0, P < .0001). CONCLUSIONS: AAPSE is suggested as an indicator of transplant-free survival in patients with systemic light-chain amyloidosis. AAPSE provided significant incremental value to established staging models.","Ochs MM, Riffel J, Kristen AV, Hegenbart U, Schönland S, Hardt SE, Katus HA, Mereles D, Buss SJ",J Am Soc Echocardiogr. 2016 Dec;29(12):1188-1196. doi: 10.1016/j.echo.2016.09.003. Epub 2016 Oct 27.,S0894-7317(16)30483-7 [pii]
Prognostic Value of Iodine-123-Metaiodobenzylguanidine Scintigraphy in Light-Chain Amyloidosis.,No abstract available,"Nicol M, Baudet M, Cescau A, Harel S, Royer B, Sarda-Mantel L, Cohen-Solal A, Arnulf B, Logeart D",Circ Cardiovasc Imaging. 2019 Nov;12(11):e009465. doi: 10.1161/CIRCIMAGING.119.009465. Epub 2019 Nov 4.,10.1161/CIRCIMAGING.119.009465 [doi]
A case of renal and splenic LECT 2 amyloidosis: A recently recognized cause of renal and systemic amyloidosis.,"Amyloidosis has traditionally been of a few defined varieties, most commonly including light-chain amyloidosis (AL amyloidosis) and secondary amyloidosis due to chronic inflammation (AA amyloidosis). Apolipoprotein A-I/A-II cystatin C, gelsolin, lysozyme, fibrinogen alpha chain, beta 2 microglobulin, and transthyretin familial amyloidosis represent rarer but reported varieties. Ten years ago, the first reports linked leukocyte chemotactic factor 2 (LECT2) amyloidosis as a pathological agent identified as a novel class of amyloid-generating protein. Epidemiology suggested that this was a new cause of amyloidosis that is especially common in Hispanic patients and somewhat common among patients from the Middle East-North Africa (MENA) region. We report a case of splenic and renal LECT 2 amyloidosis in a 62-year- old Hispanic male with diabetes mellitus. After an unremarkable serological workup, LECT 2 amyloidosis was diagnosed on renal biopsy. The case presentation is reviewed as a typical presentation, and the literature is reviewed regarding this newly reported entity, resulting in infiltrative renal amyloidosis and chronic renal disease.","Shye M, Sisk A, Schulze C, Barsoum M, Mikhail M, Arman F, Rastogi A, Hanna RM",Saudi J Kidney Dis Transpl. 2020 Mar-Apr;31(2):508-514. doi: 10.4103/1319-2442.284027.,SaudiJKidneyDisTranspl_2020_31_2_508_284027 [pii]
Differences in the characteristics and contemporary cardiac outcomes of patients with light-chain versus transthyretin cardiac amyloidosis.,"AIMS: To compare the baseline cardiovascular characteristics of immunoglobulin light-chain (AL) and amyloid transthyretin (ATTR) cardiac amyloidosis (CA) and to investigate patients' contemporary cardiac outcomes. METHODS: Single-center analysis of clinical, laboratory, echocardiographic and cardiac magnetic resonance imaging (CMRi) characteristics of AL and ATTR-CA patients' cohort (years 2013-2020). RESULTS: Included were 67 CA patients of whom 31 (46%) had AL-CA and 36 (54%) had ATTR-CA. Patients with ATTR-CA versus AL-CA were older (80 (IQR 70, 85) years versus 65 (IQR 60, 71) years, respectively, p<0.001) with male predominance (p = 0.038). Co-morbidities in ATTR-CA patients more frequently included diabetes mellitus (19% versus 3.0%, respectively, p = 0.060) and coronary artery disease (39% versus 10%, respectively, p = 0.010). By echocardiography, patients with ATTR-CA versus AL-CA had a trend to worse left ventricular (LV) ejection function (50 (IQR 40, 55)% versus 60 (IQR 45, 60)%, respectively, p = 0.051), yet comparable LV diastolic function. By CMRi, left atrial area (31 (IQR 27, 36)cm2 vs. 27 (IQR 23, 30)cm2, respectively, p = 0.015) and LV mass index (109 (IQR 96, 130)grams/m2 vs. 82 (IQR 72, 98)grams/m2, respectively, p = 0.011) were increased in patients with ATTR-CA versus AL-CA. Nevertheless, during follow-up (median 20 (IQR 10, 38) months), patients with AL-CA were more frequently admitted with heart failure exacerbations (HR 2.87 (95% CI 1.42, 5.81), p = 0.003) and demonstrated increased mortality (HR 2.51 (95%CI 1.19, 5.28), p = 0.015). CONCLUSION: Despite the various similarities of AL-CA and ATTR-CA, these diseases have distinct baseline cardiovascular profiles and different heart failure course, thus merit tailored-cardiac management.","Itzhaki Ben Zadok O, Vaturi M, Vaxman I, Iakobishvili Z, Rhurman-Shahar N, Kornowski R, Hamdan A",PLoS One. 2021 Aug 9;16(8):e0255487. doi: 10.1371/journal.pone.0255487. eCollection 2021.,PONE-D-21-13341 [pii]
"Predictors of cardiac involvement and survival in patients with primary systemic light-chain amyloidosis: roles of the clinical, chemical, and 3-D speckle tracking echocardiography parameters.","BACKGROUND: Light-chain (AL) amyloidosis is the most common type of systemic amyloidosis with poor prognosis. Currently, the predictors of cardiac involvement and prognostic staging systems are primarily based on conventional echocardiography and serological biomarkers. We used three-dimensional speckle tracking echocardiography (STE-3D) measurements of strain, hypothesizing that it could detect cardiac involvement and aid in prediction of mortality. METHODS: We retrospectively analysed 74 consecutive patients with biopsy-proven AL amyloidosis. Among them, 42 showed possible cardiac involvement and 32 without cardiac involvement. LV global longitudinal strain (GLS), global radial strain, global circumferential strain and global area strain (GAS) measurements were obtained. RESULTS: The GLS and GAS were considered significant predictors of cardiac involvement. The cut-off values discriminating cardiac involvement were 16.10% for GLS, 32.95% for GAS. During the median follow-up of 12.5 months (interquartile range 4-25 months), 20 (27%) patients died. For the Cox proportional model survival analysis, heart rate, cardiac troponin T, NT-proBNP levels, E/e', GLS, and GAS were univariate predictors of death. Multivariate Cox model showed that GLS ≤ 14.78% and cardiac troponin T ≥ 0.049 mg/l levels were independent predictors of survival. CONCLUSIONS: STE-3D measurements of LV myocardial mechanics could detect cardiac involvement in patients with AL amyloidosis; GLS and cardiac biomarkers can provided prognostic information for mortality prediction.","Lei C, Zhu X, Hsi DH, Wang J, Zuo L, Ta S, Yang Q, Xu L, Zhao X, Wang Y, Sun S, Liu L",BMC Cardiovasc Disord. 2021 Jan 21;21(1):43. doi: 10.1186/s12872-021-01856-3.,10.1186/s12872-021-01856-3 [pii]
Left ventricular myocardial work improves in response to treatment and is associated with survival among patients with light chain cardiac amyloidosis.,"AIMS: Complete haematologic response to treatment for light chain cardiac amyloidosis (AL-CA) may lead to improvement of myocardial function and better outcomes. We sought to evaluate the effect of response to treatment for AL-CA on echocardiographic indices of myocardial deformation and work and their prognostic significance. METHODS AND RESULTS: Sixty-one patients treated for AL were enrolled and underwent echocardiographic assessment at baseline and at 1 year. Patients were stratified according to haematologic response as complete or not complete responders. A significant reduction in median N-terminal pro-brain natriuretic peptide (NT-proBNP) (2771-1486 pg/mL; P < 0.001) and posterior wall thickness (13-12 mm; P = 0.002) and an increase in global work index (GWI) (1115-1356 mmHg%; P = 0.018) was observed at 1 year. Patients with complete response (CR) had a more pronounced decrease in intraventricular septum thickness (14.2-12.0 mm; P = 0.006), improved global longitudinal strain (GLS) (-11.6 to -13.1%; P for interaction = 0.045), increased global constructive work (1245-1436 mmHg%; P = 0.008), and GWI (926-1250 mmHg%, P = 0.002) compared with non-CR. Furthermore, deltaGLS (ρspearman = 0.35; P < 0.001) and deltaGWI (ρspearman = -0.32; P = 0.02) correlated with delta NT-proBNP. Importantly, patients with GLS and GWI response had a better prognosis (log-rank P = 0.048 and log-rank P = 0.007, respectively). After adjustment for Mayo stage, gender, and response status, deltaGLS [hazard ratio (HR) = 1.404, P = 0.046 per 1% increase] and deltaGWI (HR = 0.996, P = 0.042 per 1mmHg% increase) were independent predictors of survival. CONCLUSION: Complete haematologic response to treatment is associated with improved left ventricular myocardial work indices, and their change is associated with improved survival in AL-CA.","Briasoulis A, Bampatsias D, Petropoulos I, Rempakos A, Patras R, Theodorakakou F, Makris N, Dimopoulos MA, Stamatelopoulos K, Kastritis E",Eur Heart J Cardiovasc Imaging. 2024 Apr 30;25(5):698-707. doi: 10.1093/ehjci/jead351.,7492923 [pii]
"Impact of time to diagnosis on Mayo stages, treatment outcome, and survival in patients with AL amyloidosis and cardiac involvement.","OBJECTIVE: To study the impact of time to diagnosis on cardiac Mayo stages, treatment outcome, and overall survival. METHODS: We retrospectively analyzed 77 consecutive patients diagnosed between 2015 and 2020 with AL amyloidosis and cardiac involvement. Medical history was recorded in standardized form with the help of a questionnaire. RESULTS: Time from onset of symptoms of cardiac failure to diagnosis was correlated with the severity of cardiac involvement in modified Mayo 2004 and revised Mayo 2012 staging systems (r(s)  = 0.30, 95% CI: 0.07-0.50, P = .007 and r(s)  = 0.25, 95% CI: 0.01-0.45, P = .03). Patients with advanced Mayo 2004 stages received reduced-intensity regimens and had a lower probability to achieve adequate hematologic- and cardiac response after first-line treatment than patients with early stages (r(s)  = 0.28, 95% CI: 0.04-0.48, P = .01 and r(s)  = 0.72, 95% CI: 0.55-0.82, P < .0001) and poorer overall survival (P = .0004). Compared with patients diagnosed within the first year, patients diagnosed after 13-18 or ≥19 months from first symptoms had a 3- to 5 times higher risk of dying. Our data indicate that there is a 12-month window within which the diagnosis of AL amyloidosis needs to be established to avoid early deterioration and death. CONCLUSIONS: Sensitizing physicians and raising awareness for the disease are crucial for timely diagnosis and may improve the outcome of the disease.","Oubari S, Naser E, Papathanasiou M, Luedike P, Hagenacker T, Thimm A, Rischpler C, Kessler L, Kimmich C, Hegenbart U, Schönland S, Rassaf T, Reinhardt HC, Jöckel KH, Dürig J, Dührsen U, Carpinteiro A",Eur J Haematol. 2021 Oct;107(4):449-457. doi: 10.1111/ejh.13681. Epub 2021 Jul 9.,10.1111/ejh.13681 [doi]
Improving prognostic evaluations in patients with stage IIIb light chain cardiac amyloidosis: role of haemodynamic parameters.,"BACKGROUND: There is no unified prognostic scoring system for light chain cardiac amyloidosis (AL-CA), particularly stage IIIb AL-CA. This study aimed to use invasive haemodynamic information to investigate markers that can more accurately evaluate the prognosis of patients with stage IIIb AL-CA. METHODS: In this retrospective cohort study, we conducted invasive haemodynamic measurements concurrently with myocardial biopsies to diagnose AL-CA. We used Cox regression analysis and time-dependent receiver operating characteristic curve analysis to study the associations between these measurements and overall mortality. Echocardiographic parameters were also recorded and analysed via logistic regression to explore their relationships with haemodynamic changes. RESULTS: Although traditional haemodynamic parameters, such as the cardiac index (CI), pulmonary artery wedge pressure (PAWP), pulmonary artery pressure, and vascular resistance, did not correlate with mortality, the PAWP/CI ratio emerged as a vital prognostic marker. Patients with a PAWP/CI ratio above 11 mmHg/L/min/m(2) had markedly poorer survival. Kaplan‒Meier analysis highlighted the prognostic significance of the ratio, revealing distinct survival differences. Furthermore, logistic regression confirmed that echocardiographically measured pulmonary artery systolic pressure independently correlated with increases in the PAWP/CI ratio. CONCLUSIONS: In stage IIIb AL-CA patients, the PAWP/CI ratio, which surpasses traditional haemodynamic indicators, significantly predicts all-cause mortality, emphasizing its prognostic value. Our findings suggest that echocardiography-derived PASP could alternatively reflect the PAWP/CI ratio.","Li J, Lu Y, Xu X, Tian Z, Li J, Zhang S",Orphanet J Rare Dis. 2025 Jan 13;20(1):19. doi: 10.1186/s13023-024-03451-z.,10.1186/s13023-024-03451-z [pii]
Novel echocardiographic pixel intensity quantification method for differentiating transthyretin cardiac amyloidosis from light chain cardiac amyloidosis and other phenocopies.,"AIMS: Differentiating cardiac amyloidosis (CA) subtypes is important considering the significantly different therapies for transthyretin (ATTR)-CA and light chain (AL)-CA. Therefore, an echocardiographic method to distinguish ATTR-CA from AL-CA would provide significant value. We assessed a novel echocardiographic pixel intensity method to quantify myocardial calcification to differentiate ATTR-CA from phenocopies of CA and from AL-CA, specifically. METHODS AND RESULTS: 167 patients with ATTR-CA (n = 53), AL-CA (n = 32), hypertrophic cardiomyopathy (n = 37), and advanced chronic kidney disease (n = 45) were retrospectively evaluated. The septal reflectivity ratio (SRR) was measured as the average pixel intensity of the visible anterior septal wall divided by the average pixel intensity of the visible posterior lateral wall. SRR and other myocardial strain-based echocardiographic measures were evaluated with receiver operator characteristic analysis to evaluate accuracy in distinguishing ATTR-CA from AL-CA and other forms of left ventricular hypertrophy. Mean SRR was significantly higher in the ATTR-CA cohort compared to the other cohorts (P < 0.001). SRR demonstrated the largest area under the curve (AUC) (0.91, P < 0.001) for distinguishing ATTR from all other cohorts and specifically for distinguishing ATTR-CA from AL-CA (AUC = 0.90, P < 0.001, specificity 96%, and sensitivity 63%). There was excellent inter- and intra-operator reproducibility with an ICC of 0.91 (P < 0.001) and 0.89 (P < 0.001), respectively. CONCLUSION: The SRR is a reproducible and robust parameter for differentiating ATTR-CA from other phenocopies of CA and specifically ATTR-CA from AL-CA.","Slostad B, Appadurai V, Narang A, Hale S, Lehrer S, Kline A, Bavishi A, Okwuosa I, Jankowski M, Weinberg R, Kansal M, Thomas JD, Shah S",Eur Heart J Cardiovasc Imaging. 2024 Oct 30;25(11):1601-1611. doi: 10.1093/ehjci/jeae095.,7641779 [pii]
Temporal artery involvement in AL amyloidosis: an important differential diagnosis for giant cell arteritis. A case report and literature review.,"AL amyloidosis (AL) is a systemic disorder due to extracellular tissue deposition of amyloid fibrils, composed of immunoglobulin light chains. Since the description of AL involving temporal arteries in 1986, this disorder has been known as one of the differential diagnoses of giant cell arteritis (GCA). We encountered a case of an elderly female presenting with headache and tender and enlarged temporal arteries, that was pathologically diagnosed with temporal artery involvement of AL due to Bence-Jones-type MM. To our knowledge, this was the first case of AL with temporal artery involvement in Japan, that presented with GCA-like features. Literature review of AL cases with temporal artery involvement showed close similarity between these disorders, but suggested that vasculature involvement (extremity claudication, kidney or heart), macroglossia, carpal tunnel syndrome and normal or low (<0.5 mg/dL) CRP levels may predict AL rather than GCA. Physicians should keep in mind that AL involving temporal arteries can be a pitfall in the diagnosis of GCA, as seen in our and previous cases.","Oiwa H, Katoh N, Kojo S, Yoshinaga T, Taniguchi K, Shiote Y",Mod Rheumatol Case Rep. 2020 Jan;4(1):90-94. doi: 10.1080/24725625.2019.1650993. Epub 2019 Aug 13.,10.1080/24725625.2019.1650993 [doi]
Cardiac amyloidosis: still challenging.,No abstract available,"Laptseva N, Zuber M, Bode PK, Flammer AJ",Eur Heart J. 2017 Jan 7;38(2):122. doi: 10.1093/eurheartj/ehw290.,ehw290 [pii]
Right Atrial Stiffness Assessed by Speckle-Tracking Echocardiography: An Incremental Prognostic Indicator for Light-Chain Cardiac Amyloidosis.,"BACKGROUND: Light chain cardiac amyloidosis (AL-CA) is an infiltrative cardiomyopathy characterized by the deposition of abnormally folded proteins in the myocardium and atrial walls. This study aims to evaluate right atrial (RA) stiffness-defined as the ratio of tricuspid E/e' (reflecting right ventricular diastolic function) to RA reservoir strain (right atrial reservoir strain (RASr), reflecting RA mechanical properties)-using speckle-tracking echocardiography, predicting the primary outcome in AL-CA, and assessing its incremental predictive value. METHODS: Seventy-eight patients (age: 59.40 ± 8.92 years; 60.3% male) with AL-CA and available follow-up data were studied by biopsy, noncardiac biopsy with supportive cardiac imaging. Clinical and routine echocardiographic data were retrospectively analyzed, with all-cause mortality followed during the period from September 2021 to September 2024. RESULTS: The median follow-up duration was 736 days (interquartile range: 375-1096 days). All-cause mortality occurred in 28 patients (36%). Restricted cubic spline (RCS) analysis identified a RA stiffness threshold of 0.9 as a robust outcome predictor (p < 0.001). Cox regression analysis showed RA stiffness (Tricuspid E/e'/RASr) was independently associated with adverse outcomes (adjusted hazard ratio = 4.33, p < 0.001). Kaplan-Meier survival curves demonstrated significant survival differences stratified by RA stiffness. Incorporating RA stiffness into the New York Heart Association(NYHA)functional class and Mayo 2012 models significantly improved their predictive accuracy (all p < 0.001). CONCLUSION: RA stiffness evaluated by speckle-tracking echocardiography has prognostic value in AL-CA, adding incremental predictive value to conventional staging models.","Su C, Cai Y, Huang T, Zeng D, Jiang C, Zhang X, Li Y, Wu B, Luo J, Wu J",Echocardiography. 2025 Nov;42(11):e70343. doi: 10.1111/echo.70343.,10.1111/echo.70343 [doi]
Cardiac Amyloid Imaging with 18F-Florbetaben PET: A Pilot Study.,"Our aim was to determine the feasibility of (18)F-florbetaben PET in diagnosing cardiac amyloidosis. METHODS: (18)F-florbetaben PET was performed on 14 patients: 5 amyloid light chain, 5 amyloid transthyretin, and 4 control with hypertensive heart disease. Qualitative and quantitative assessments of (18)F-florbetaben activity were performed using the SUV(mean) of the left ventricular myocardium and blood pool and calculation of target-to-background SUV ratio. Myocardial (18)F-forbetaben retention was also calculated as the percentage mean myocardial SUV change between 0 and 5 min and 15 and 20 min after radiotracer injection. Global left ventricular longitudinal and right ventricular free wall longitudinal strain were calculated using 2-dimensional speckle-tracking echocardiography. RESULTS: Target-to-background SUV ratio and percentage myocardial (18)F-forbetaben retention were higher in amyloid patients than in hypertensive controls. A cutoff of 40% was able to differentiate between cardiac amyloid patients and hypertensive controls. Percentage myocardial (18)F-forbetaben retention was an independent determinant of both global left ventricular longitudinal and right ventricular free wall longitudinal strain via an inverse curve relationship. CONCLUSION: (18)F-florbetaben PET imaging can accurately identify and differentiate between cardiac amyloidosis and hypertensive heart disease. Percentage myocardial (18)F-florbetaben retention was an independent determinant of myocardial dysfunction in cardiac amyloidosis.","Law WP, Wang WY, Moore PT, Mollee PN, Ng AC",J Nucl Med. 2016 Nov;57(11):1733-1739. doi: 10.2967/jnumed.115.169870. Epub 2016 Jun 15.,jnumed.115.169870 [pii]
Left atrial dysfunction in light-chain cardiac amyloidosis and hypertrophic cardiomyopathy - A comparative three-dimensional speckle-tracking echocardiographic analysis from the MAGYAR-Path Study.,"INTRODUCTION: While cardiac amyloidosis (CA) is a rare systemic disease characterized by extracellular deposition of protein-derived fibrils, hypertrophic cardiomyopathy (HCM) is histopathologically characterized by myocyte hypertrophy and disarray, interstitial fibrosis, and small intramural coronary arteriole dysplasia. The aim of the present study was to compare left atrial (LA) volumetric and functional characteristics between light-chain (AL) CA and HCM by three-dimensional (3D) speckle-tracking echocardiography (STE). METHODS: The AL-CA group initially consisted of 17 patients with AL-CA, but one patient was excluded due to inadequate image quality, and so the study population consisted of 16 patients (mean age: 64.0±9.6 years, five men). Their results were compared with data on 20 age-matched HCM patients (mean age: 59.8±5.2 years, 10 men) and on 16 age-matched healthy controls (mean age: 58.2±7.2 years, six men). Complete two-dimensional Doppler echocardiography and 3D-STE were performed in all cases. RESULTS: Significantly increased LA volumes were observed in both AL-CA and HCM compared with the control group. Only active atrial emptying fraction was found to be significantly reduced in AL-CA patients compared to controls. Peak global and mean segmental circumferential, longitudinal and area strains showed significant reductions in AL-CA patients compared with controls, but only peak mean segmental longitudinal strain differed significantly between HCM patients and controls. While no differences were demonstrated in global and mean segmental strain at atrial contraction between HCM patients and controls, AL-CA patients showed reductions in certain strain parameters compared to controls and HCM patients. CONCLUSIONS: Different patterns of LA functional characteristics were demonstrated in AL-CA and HCM patients by 3D-STE.","Földeák D, Kormányos Á, Domsik P, Kalapos A, Piros GÁ, Ambrus N, Ajtay Z, Sepp R, Borbényi Z, Forster T, Nemes A",Rev Port Cardiol. 2017 Dec;36(12):905-913. doi: 10.1016/j.repc.2017.06.014. Epub 2017 Dec 9.,S0870-2551(17)30867-3 [pii]
A retrospective analysis of treatment outcomes in 45 patients with cardiac light-chain amyloidosis: a single-center experience in Japan.,"The prognosis of cardiac light-chain (AL) amyloidosis is considered to be very poor. We studied the treatment efficacy and outcomes by retrospectively analyzing the clinical results of 45 patients with cardiac AL amyloidosis treated at our hospital between September 2008 and March 2016. The group of patients analyzed included 29 males and 16 females with a median age of 68 years. Their baseline median NT-proBNP, cTnT, and dFLC were 3167 pg/ml, 0.080 ng/ml, and 286.17 mg/l, respectively. Twenty-eight patients were in Cardiac Stage (CS) III and 17 patients were in Revised Prognostic Stage (RPS) IV. At the median follow-up of 10 months, the median overall survival (OS) was 16 months and 3-year OS was 35.9%. The patients in CS III showed significantly poorer survival rate than those in CS I or II (3-year OS: 12.2% vs. 65.8%, p = 0.0115) and the patients in RPS IV showed significantly poorer survival rate than those in RPS I, II, or III (3-year OS: 11.0% vs. 53.3%, p = 0.000914). Regardless of the therapeutic approaches, patients who achieved hematological CR or cardiac organ response demonstrated significantly improved prognosis. Therefore, achievement of hematological and organ responses is important in the treatment of cardiac AL amyloidosis.","Fuchida SI, Ide D, Taminishi-Katsuragawa Y, Suga T, Matsui-Maegawa S, Maruyama N, Iwamura Y, Kitamura Y, Okawa Y, Okano A, Hatsuse M, Murakami S, Shimazaki C",Int J Hematol. 2020 Jun;111(6):803-811. doi: 10.1007/s12185-020-02835-8. Epub 2020 Feb 4.,10.1007/s12185-020-02835-8 [pii]
Haematological response and overall survival in two consecutive Dutch patient cohorts with AL amyloidosis diagnosed between 2008 and 2016.,"BACKGROUND: Although survival has improved in recent decades, the short-term prognosis of patients with immunoglobulin light chain (AL) amyloidosis remains grim. We aimed to assess overall survival (OS) of AL amyloidosis patients by comparing cohorts in two consecutive time periods. METHODS: Data were collected and compared on 126 patients from two tertiary referral centres in The Netherlands during the time periods 2008-2012 and 2013-2016. RESULTS: There was a non-significant trend to improved 6-month OS in the last cohort (78% vs. 67%, p = .216, crude odds ratio 1.66, 95%CI 0.74-3.70, adjusted odds ratio 2.22, 95%CI 0.88-5.56). Patients in this cohort had higher Mayo risk scores (stage III 40% vs. 24%, p < .001 and revised stage IV 14% vs. 11%, p < .001), higher use of bortezomib (50% vs. 30%), and better haematological response (complete response/very good partial response in 39% vs. 27%, p < .001). Diagnostic delay was similar in both time periods. CONCLUSIONS: In the 2013-2016 cohort there was a trend toward improved 6-month OS, and an improved haematological response. Patients in this cohort had more advanced cardiac disease and received bortezomib more frequently, but diagnostic delay was similar to the 2008-2012 cohort. For further prognostic improvement, practitioners should be more alert, especially for cardiac amyloidosis.","Rutten KHG, Raymakers RAP, Hazenberg BPC, Nienhuis HLA, Vellenga E, Minnema MC",Amyloid. 2018 Dec;25(4):227-233. doi: 10.1080/13506129.2018.1536043. Epub 2018 Dec 4.,10.1080/13506129.2018.1536043 [doi]
Early relapse is an adverse prognostic marker in systemic immunoglobulin light chain (AL) Amyloidosis.,No abstract available,"Ravichandran S, Law S, Mahmood S, Wisniowski B, Foard D, Fontana M, Martinez-Naharro A, Whelan C, Gillmore JD, Lachmann HJ, Hawkins PN, Wechalekar AD",Leukemia. 2022 Apr;36(4):1180-1184. doi: 10.1038/s41375-021-01497-7. Epub 2022 Jan 6.,10.1038/s41375-021-01497-7 [pii]
